seqName,Accession.ID,Virus.name,Location,Collection.date,location,continent,country,state,host,hasYearOnly,hasMonthOnly,hasFullDate,decDate
EPI_ISL_447244|Human|Democratic Republic of the Congo|hCoV-19/DRC/3806/2020|2020-04-24|2020.311,EPI_ISL_447244,hCoV-19/DRC/3806/2020,Africa / Democratic Republic of the Congo / Kinshasa,24/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.311475
EPI_ISL_447245|Human|Democratic Republic of the Congo|hCoV-19/DRC/3827/2020|2020-04-24|2020.311,EPI_ISL_447245,hCoV-19/DRC/3827/2020,Africa / Democratic Republic of the Congo / Kinshasa,24/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.311475
EPI_ISL_447246|Human|Democratic Republic of the Congo|hCoV-19/DRC/3829/2020|2020-04-24|2020.311,EPI_ISL_447246,hCoV-19/DRC/3829/2020,Africa / Democratic Republic of the Congo / Kinshasa,24/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.311475
EPI_ISL_447247|Human|Democratic Republic of the Congo|hCoV-19/DRC/3834/2020|2020-04-25|2020.314,EPI_ISL_447247,hCoV-19/DRC/3834/2020,Africa / Democratic Republic of the Congo / Kinshasa,25/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.314208
EPI_ISL_447248|Human|Democratic Republic of the Congo|hCoV-19/DRC/3837/2020|2020-04-25|2020.314,EPI_ISL_447248,hCoV-19/DRC/3837/2020,Africa / Democratic Republic of the Congo / Kinshasa,25/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.314208
EPI_ISL_447249|Human|Democratic Republic of the Congo|hCoV-19/DRC/3841/2020|2020-04-25|2020.314,EPI_ISL_447249,hCoV-19/DRC/3841/2020,Africa / Democratic Republic of the Congo / Kinshasa,25/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.314208
EPI_ISL_447596|Human|Democratic Republic of the Congo|hCoV-19/DRC/1151/2020|2020-04-05|2020.260,EPI_ISL_447596,hCoV-19/DRC/1151/2020,Africa / Democratic Republic of the Congo / Kinshasa,05/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.259563
EPI_ISL_447597|Human|Democratic Republic of the Congo|hCoV-19/DRC/3440/2020|2020-04-22|2020.306,EPI_ISL_447597,hCoV-19/DRC/3440/2020,Africa / Democratic Republic of the Congo / Kinshasa,22/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.306011
EPI_ISL_447598|Human|Democratic Republic of the Congo|hCoV-19/DRC/3451/2020|2020-04-22|2020.306,EPI_ISL_447598,hCoV-19/DRC/3451/2020,Africa / Democratic Republic of the Congo / Kinshasa,22/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.306011
EPI_ISL_447599|Human|Democratic Republic of the Congo|hCoV-19/DRC/3453/2020|2020-04-22|2020.306,EPI_ISL_447599,hCoV-19/DRC/3453/2020,Africa / Democratic Republic of the Congo / Kinshasa,22/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.306011
EPI_ISL_447600|Human|Democratic Republic of the Congo|hCoV-19/DRC/3481/2020|2020-04-22|2020.306,EPI_ISL_447600,hCoV-19/DRC/3481/2020,Africa / Democratic Republic of the Congo / Kinshasa,22/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.306011
EPI_ISL_447601|Human|Democratic Republic of the Congo|hCoV-19/DRC/3482/2020|2020-04-22|2020.306,EPI_ISL_447601,hCoV-19/DRC/3482/2020,Africa / Democratic Republic of the Congo / Kinshasa,22/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.306011
EPI_ISL_447602|Human|Democratic Republic of the Congo|hCoV-19/DRC/3483/2020|2020-04-22|2020.306,EPI_ISL_447602,hCoV-19/DRC/3483/2020,Africa / Democratic Republic of the Congo / Kinshasa,22/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.306011
EPI_ISL_447603|Human|Democratic Republic of the Congo|hCoV-19/DRC/3490/2020|2020-04-22|2020.306,EPI_ISL_447603,hCoV-19/DRC/3490/2020,Africa / Democratic Republic of the Congo / Kinshasa,22/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.306011
EPI_ISL_447604|Human|Democratic Republic of the Congo|hCoV-19/DRC/3504/2020|2020-04-23|2020.309,EPI_ISL_447604,hCoV-19/DRC/3504/2020,Africa / Democratic Republic of the Congo / Kinshasa,23/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.308743
EPI_ISL_447605|Human|Democratic Republic of the Congo|hCoV-19/DRC/3552/2020|2020-04-23|2020.309,EPI_ISL_447605,hCoV-19/DRC/3552/2020,Africa / Democratic Republic of the Congo / Kinshasa,23/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.308743
EPI_ISL_447606|Human|Democratic Republic of the Congo|hCoV-19/DRC/3595/2020|2020-04-23|2020.309,EPI_ISL_447606,hCoV-19/DRC/3595/2020,Africa / Democratic Republic of the Congo / Kinshasa,23/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.308743
EPI_ISL_447607|Human|Democratic Republic of the Congo|hCoV-19/DRC/3632/2020|2020-04-23|2020.309,EPI_ISL_447607,hCoV-19/DRC/3632/2020,Africa / Democratic Republic of the Congo / Kinshasa,23/04/2020,Africa/Democratic Republic of the Congo/Kinshasa,Africa,Democratic Republic of the Congo,Kinshasa,Human,FALSE,FALSE,TRUE,2020.308743
EPI_ISL_450296|Human|South Africa|hCoV-19/South Africa/R04827/2020|2020-03-17|2020.208,EPI_ISL_450296,hCoV-19/South Africa/R04827/2020,Africa / South Africa / KZN,17/03/2020,Africa/South Africa/KZN,Africa,South Africa,KZN,Human,FALSE,FALSE,TRUE,2020.20765
EPI_ISL_450297|Human|South Africa|hCoV-19/South Africa/R05204/2020|2020-03-19|2020.213,EPI_ISL_450297,hCoV-19/South Africa/R05204/2020,Africa / South Africa / MP,19/03/2020,Africa/South Africa/MP,Africa,South Africa,MP,Human,FALSE,FALSE,TRUE,2020.213115
EPI_ISL_450298|Human|South Africa|hCoV-19/South Africa/R05360/2020|2020-03-19|2020.213,EPI_ISL_450298,hCoV-19/South Africa/R05360/2020,Africa / South Africa / KZN,19/03/2020,Africa/South Africa/KZN,Africa,South Africa,KZN,Human,FALSE,FALSE,TRUE,2020.213115
EPI_ISL_450299|Human|South Africa|hCoV-19/South Africa/R07552/2020|2020-03-31|2020.246,EPI_ISL_450299,hCoV-19/South Africa/R07552/2020,Africa / South Africa / GP,31/03/2020,Africa/South Africa/GP,Africa,South Africa,GP,Human,FALSE,FALSE,TRUE,2020.245902
EPI_ISL_450300|Human|South Africa|hCoV-19/South Africa/R07601/2020|2020-03-30|2020.243,EPI_ISL_450300,hCoV-19/South Africa/R07601/2020,Africa / South Africa / LP,30/03/2020,Africa/South Africa/LP,Africa,South Africa,LP,Human,FALSE,FALSE,TRUE,2020.243169
EPI_ISL_450301|Human|South Africa|hCoV-19/South Africa/R07719/2020|2020-04-01|2020.249,EPI_ISL_450301,hCoV-19/South Africa/R07719/2020,Africa / South Africa / Unknown,01/04/2020,Africa/South Africa/Unknown,Africa,South Africa,Unknown,Human,FALSE,FALSE,TRUE,2020.248634
EPI_ISL_450495|Human|South Africa|hCoV-19/South Africa/R05929/2020|2020-03-25|2020.230,EPI_ISL_450495,hCoV-19/South Africa/R05929/2020,Africa / South Africa / GP,25/03/2020,Africa/South Africa/GP,Africa,South Africa,GP,Human,FALSE,FALSE,TRUE,2020.229508
EPI_ISL_450507|Human|Nigeria|hCoV-19/Nigeria/NG02/2020|2020-04-09|2020.270,EPI_ISL_450507,hCoV-19/Nigeria/NG02/2020,Africa / Nigeria,09/04/2020,Africa/Nigeria,Africa,Nigeria,NA,Human,FALSE,FALSE,TRUE,2020.270492
